City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,invercargill,-46.4,168.35,18.19,78,100,2.64,NZ,1703026936
83,ouadda,8.0777,22.4007,23.53,22,100,2.26,CF,1703026943
84,richards bay,-28.783,32.0377,21.91,82,98,1.7,ZA,1703026943
85,rabo de peixe,37.8,-25.5833,15.73,88,20,2.57,PT,1703026943
86,cabo san lucas,22.8909,-109.9124,27.56,59,12,3.4,MX,1703026587
87,machico,32.7,-16.7667,19.35,69,75,7.2,PT,1703026943
88,saminaka,10.414,8.6828,21.08,26,57,1.8,NG,1703026944
89,miquelon,47.0975,-56.3814,8.0,96,100,15.81,PM,1703026944
90,crane,31.3974,-102.3501,15.79,43,95,9.68,US,1703026944
91,ishigaki,24.3448,124.1572,19.07,94,75,6.17,JP,1703026944
92,fale old settlement,-9.3852,-171.2468,28.91,75,79,2.08,TK,1703026944
93,ebaye,8.7748,167.7392,29.01,70,40,8.23,MH,1703026945
94,jinjiang,24.8198,118.5741,13.9,72,100,6.43,CN,1703026945
95,dapa,9.7594,126.0531,26.98,81,58,1.75,PH,1703026945
96,coquimbo,-29.9533,-71.3436,18.85,63,0,5.14,CL,1703026842
97,aasiaat,68.7098,-52.8699,-20.04,89,38,2.67,GL,1703026945
98,ushuaia,-54.8,-68.3,13.81,67,75,7.72,AR,1703026933
99,nuku'alofa,-21.1333,-175.2,29.19,74,40,8.75,TO,1703026946
100,puerto ayora,-0.7393,-90.3518,28.98,93,98,1.79,EC,1703026946
101,albany,42.6001,-73.9662,-0.43,77,79,4.92,US,1703026921
102,longyearbyen,78.2186,15.6401,-7.09,63,0,8.23,SJ,1703026946
103,utrik,11.2278,169.8474,27.07,76,79,10.64,MH,1703026947
104,axim,4.8699,-2.2405,27.33,80,20,3.72,GH,1703026947
105,east london,-33.0153,27.9116,20.88,87,57,6.7,ZA,1703026947
106,hamilton,39.1834,-84.5333,1.56,62,27,0.45,US,1703026886
107,olinda,-8.0089,-34.8553,25.85,94,75,1.03,BR,1703026840
108,whitehorse,60.7161,-135.0538,-11.61,84,75,8.75,CA,1703026947
109,ola,59.5833,151.2833,-25.54,89,28,4.58,RU,1703026948
110,dzhetygara,52.1908,61.2006,-11.19,93,9,3.98,KZ,1703026948
111,sanctuary point,-35.1114,150.629,17.08,93,100,6.76,AU,1703026948
112,broome,42.2506,-75.833,-1.88,77,100,3.09,US,1703026948
113,villa gesell,-37.2639,-56.973,15.59,62,99,6.39,AR,1703026948
114,tazovsky,67.4667,78.7,-13.2,92,100,9.12,RU,1703026948
115,winnemucca,40.973,-117.7357,8.03,46,75,4.12,US,1703026949
116,cockburn town,21.4612,-71.1419,24.64,85,99,8.66,TC,1703026950
117,vadso,70.0744,29.7487,-5.91,86,99,4.12,NO,1703026950
118,christchurch,-43.5333,172.6333,29.19,50,5,2.06,NZ,1703026684
119,kaoma,-14.7833,24.8,19.25,94,100,2.09,ZM,1703026950
